[EXTINCT ][2026-07-26 02:10:41] extinction #60 | ticks: 9778 | max Gen: 0 | avg Ein: 163.9 | avg Eout: 96.1
[EXTINCT ][2026-07-26 02:10:46] extinction #61 | ticks: 5383 | max Gen: 0 | avg Ein: 776.1 | avg Eout: 234.0
[EXTINCT ][2026-07-26 02:10:53] extinction #62 | ticks: 9187 | max Gen: 1 | avg Ein: 210.7 | avg Eout: 174.7
[EXTINCT ][2026-07-26 02:10:58] extinction #63 | ticks: 8489 | max Gen: 1 | avg Ein: 204.8 | avg Eout: 177.9
[EXTINCT ][2026-07-26 02:11:06] extinction #64 | ticks: 12071 | max Gen: 1 | avg Ein: 108.3 | avg Eout: 92.6
[EXTINCT ][2026-07-26 02:11:14] extinction #65 | ticks: 9991 | max Gen: 0 | avg Ein: 928.6 | avg Eout: 423.2
[EXTINCT ][2026-07-26 02:11:21] extinction #66 | ticks: 11541 | max Gen: 2 | avg Ein: 79.1 | avg Eout: 65.7
[EXTINCT ][2026-07-26 02:11:28] extinction #67 | ticks: 3966 | max Gen: 0 | avg Ein: 168.5 | avg Eout: 76.5
[EXTINCT ][2026-07-26 02:11:33] extinction #68 | ticks: 10095 | max Gen: 1 | avg Ein: 155.3 | avg Eout: 107.0
[EXTINCT ][2026-07-26 02:11:37] extinction #69 | ticks: 3706 | max Gen: 1 | avg Ein: 957.1 | avg Eout: 72.8
[EXTINCT ][2026-07-26 02:11:41] extinction #70 | ticks: 7665 | max Gen: 1 | avg Ein: 313.4 | avg Eout: 128.5
[EXTINCT ][2026-07-26 02:11:46] extinction #71 | ticks: 9949 | max Gen: 3 | avg Ein: 100.7 | avg Eout: 93.4
[EXTINCT ][2026-07-26 02:11:50] extinction #72 | ticks: 7084 | max Gen: 2 | avg Ein: 370.9 | avg Eout: 60.1
[EXTINCT ][2026-07-26 02:11:56] extinction #73 | ticks: 6012 | max Gen: 0 | avg Ein: 366.7 | avg Eout: 371.5
[EXTINCT ][2026-07-26 02:12:00] extinction #74 | ticks: 4449 | max Gen: 0 | avg Ein: 330.4 | avg Eout: 54.6
[EXTINCT ][2026-07-26 02:12:06] extinction #75 | ticks: 9547 | max Gen: 1 | avg Ein: 221.0 | avg Eout: 173.3
[EXTINCT ][2026-07-26 02:12:09] extinction #76 | ticks: 7076 | max Gen: 2 | avg Ein: 161.3 | avg Eout: 78.0
[EXTINCT ][2026-07-26 02:12:17] extinction #77 | ticks: 5969 | max Gen: 0 | avg Ein: 102.3 | avg Eout: 54.5
[EXTINCT ][2026-07-26 02:12:24] extinction #78 | ticks: 14431 | max Gen: 2 | avg Ein: 56.6 | avg Eout: 42.9
[EXTINCT ][2026-07-26 02:12:30] extinction #79 | ticks: 18944 | max Gen: 0 | avg Ein: 96.8 | avg Eout: 61.9
[EXTINCT ][2026-07-26 02:12:33] extinction #80 | ticks: 6619 | max Gen: 6 | avg Ein: 73.1 | avg Eout: 51.3
[EXTINCT ][2026-07-26 02:12:38] extinction #81 | ticks: 9668 | max Gen: 1 | avg Ein: 93.8 | avg Eout: 60.5
[EXTINCT ][2026-07-26 02:12:41] extinction #82 | ticks: 5427 | max Gen: 0 | avg Ein: 109.2 | avg Eout: 74.9
[EXTINCT ][2026-07-26 02:12:44] extinction #83 | ticks: 5291 | max Gen: 3 | avg Ein: 120.3 | avg Eout: 75.2
[EXTINCT ][2026-07-26 02:12:48] extinction #84 | ticks: 7875 | max Gen: 1 | avg Ein: 102.8 | avg Eout: 95.1
[EXTINCT ][2026-07-26 02:12:51] extinction #85 | ticks: 6810 | max Gen: 2 | avg Ein: 155.1 | avg Eout: 139.8
[EXTINCT ][2026-07-26 02:12:55] extinction #86 | ticks: 8245 | max Gen: 1 | avg Ein: 162.9 | avg Eout: 158.7
[EXTINCT ][2026-07-26 02:12:59] extinction #87 | ticks: 5577 | max Gen: 1 | avg Ein: 1449.5 | avg Eout: 72.4
[EXTINCT ][2026-07-26 02:13:08] extinction #88 | ticks: 11821 | max Gen: 7 | avg Ein: 72.4 | avg Eout: 39.7
[EXTINCT ][2026-07-26 02:13:14] extinction #89 | ticks: 7166 | max Gen: 0 | avg Ein: 959.7 | avg Eout: 185.9
[EXTINCT ][2026-07-26 02:13:17] extinction #90 | ticks: 6924 | max Gen: 0 | avg Ein: 86.0 | avg Eout: 70.4
[EXTINCT ][2026-07-26 02:13:23] extinction #91 | ticks: 11576 | max Gen: 1 | avg Ein: 173.8 | avg Eout: 100.2
[EXTINCT ][2026-07-26 02:13:26] extinction #92 | ticks: 9119 | max Gen: 0 | avg Ein: 96.9 | avg Eout: 61.5
[EXTINCT ][2026-07-26 02:13:34] extinction #93 | ticks: 9413 | max Gen: 2 | avg Ein: 409.4 | avg Eout: 74.7
[EXTINCT ][2026-07-26 02:13:42] extinction #94 | ticks: 13917 | max Gen: 1 | avg Ein: 211.7 | avg Eout: 155.9
[EXTINCT ][2026-07-26 02:13:45] extinction #95 | ticks: 6893 | max Gen: 5 | avg Ein: 114.3 | avg Eout: 100.1
[EXTINCT ][2026-07-26 02:13:50] extinction #96 | ticks: 6500 | max Gen: 1 | avg Ein: 95.3 | avg Eout: 58.2
[EXTINCT ][2026-07-26 02:13:53] extinction #97 | ticks: 3200 | max Gen: 0 | avg Ein: 123.5 | avg Eout: 52.1
[EXTINCT ][2026-07-26 02:14:00] extinction #98 | ticks: 13343 | max Gen: 2 | avg Ein: 138.5 | avg Eout: 109.4
[EXTINCT ][2026-07-26 02:14:03] extinction #99 | ticks: 7027 | max Gen: 1 | avg Ein: 473.4 | avg Eout: 99.4
[EXTINCT ][2026-07-26 02:14:09] extinction #100 | ticks: 13828 | max Gen: 4 | avg Ein: 82.9 | avg Eout: 73.0
[EXTINCT ][2026-07-26 02:14:17] extinction #101 | ticks: 12270 | max Gen: 2 | avg Ein: 87.1 | avg Eout: 46.5
[EXTINCT ][2026-07-26 02:14:25] extinction #102 | ticks: 5874 | max Gen: 1 | avg Ein: 115.7 | avg Eout: 66.2
[EXTINCT ][2026-07-26 02:14:28] extinction #103 | ticks: 3735 | max Gen: 0 | avg Ein: 99.7 | avg Eout: 73.9
[EXTINCT ][2026-07-26 02:14:32] extinction #104 | ticks: 10755 | max Gen: 0 | avg Ein: 74.3 | avg Eout: 67.5
